Age,Attrition,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single
0,1,0,-1,0,0,0,1,0,0,1,0,0,2,1,-1,0,-1,0,0,-2,-2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,0,-1,0,-1,0,1,0,-1,0,0,0,1,0,0,2,2,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,1,1,0,0,1,1,1,-1,-1,0,-1,-1,1,1,0,0,0,0,0,0,0,-1,-1,0,-1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
0,0,1,0,1,1,0,0,0,-1,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,-1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
-1,0,0,0,-1,-1,1,-1,0,-1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0,0,0,1,1,0,0,-1,1,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,1,0,0,0,0,0,1,-1,-1,0,0,0,1,1,2,-1,2,0,0,-1,-1,-1,0,-1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
0,0,1,1,-1,1,1,0,0,-1,0,0,0,0,0,1,2,0,0,-1,0,0,-1,-1,0,-1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,-1,1,0,1,1,-1,-1,1,0,1,0,-1,0,1,2,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,-1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,-1,1,0,1,-1,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
